Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,King Hulk Hosts a Raid Party,1,Sneke#1302,28,32,60,1st,Yes (3),1st,19 (5),1st,0 (3),1st,3.158 (5),16,,4,2,4,5,9,4,0,0,22,"Joe Fixit, Grey Hulk",Peter's Allies,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"I hadn't played with coordinate before, but it looked fun when I saw Jo as an option. Threaten & Bribe plus Liz lead to some each Mastermind hits.",
,,2,Jean-Sebastien & Genevieve,41,24,65,1st,Yes (3),2nd,21 (4),1st,0 (3),2nd,3.095 (4),14,,17,3,3,3,7,6,1,0,20,Hulkbuster Iron Man,She-Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Christmas break approaching, so I did not put a lot of thoughts into Hero selection. I just love Smash, so I took She-Hulk and Hulkbuster and just had a nice fun game. Best card was Final Battle, the only time I played it I managed to get enough Attack to hit the MM twice!",
,,3,Redblock,30,36,66,1st,Yes (3),3rd,24 (3),1st,0 (3),3rd,2.75 (3),12,,6,1,2,5,5,3,1,0,16,Strong Guy,Happy Hogan,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Never used any heroes in setup before, so it was interesting experience, went for all 4 costs in hero pile, combination of clone, danger sense and coordinate worked, and investigate does wonders on feast. Never got to see what was revealed scheme, but not sorry on that",
,,4,Jalt & KaitieAlt,39,22,61,1st,Yes (3),4th,25 (2),1st,0 (3),4th,2.44 (2),10,,17,1,0,3,8,3,2,0,16,Hulkbuster Iron Man,Strong Guy,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,I was able to avoid a majority of the wounds from piling up and used Empowered to my luck to be able to keep everything in check and beat Hulk pretty easily.,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,AdamantiumGambit,36,26,62,1st,Yes (3),5th,27 (1),1st,0 (3),5th,2.296 (1),8,,10,1,1,3,5,3,2,0,14,Hulkbuster Iron Man,Strong Guy,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"Not my best game of Legendary. Should have gone for a second game, but I was eager to hit that reveal button",
,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Reign on the Wedding Day,1,R3DJ0N,24,38,62,1st,Yes (5),1st,23 (9),1st,0 (6.5),1st,2.696 (9),29.5,,14,0,2,5,8,4,2,0,21,Luke Cage,Stature,Luke Cage,Stature,Second attempt,3,I wanted to bring in some heroes with higher base attack to enable abomination. 1st game that worked. 2nd game was mostly stature and quasar. Could have ended so much earlier but she kept master striking at the perfect times.,
,,2,ChuckBauer,34,30,64,1st,Yes (5),2nd,26 (8),1st,0 (6.5),3rd,2.462 (7),26.5,,4,2,4,4,7,3,0,0,18,Hulkling,Adam Warlock,Hulkling,Adam Warlock,First attempt,4,"Brought Adam Warlock to increase the Shard income for Quasar, and Hulkling for some extra wound income to feed the Okoye engine!",
,,3,HatePhD & editedmist,34,33,67,1st,Yes (5),3rd,28 (6.5),1st,0 (6.5),4th,2.393 (6),24,,1,1,2,4,6,3,2,0,17,Ronan the Accuser,Stature,Phyla-Vell,Stature,Second attempt,4,"""That one card is a b****"" is our comment lol I think in reference to her fill the city up with officers tactic.

""I think I had more fun the second game after I understood why we were losing"" is my other favorite comment of ours.",
,,4,Adrian Miller,33,47,80,1st,Yes (5),6th,30 (4),1st,0 (6.5),2nd,2.667 (8),23.5,,14,3,3,4,4,2,1,0,14,Karnak,Queen Storm of Wakanda,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Queen Storm and Karnak for the win.,
,,5,AntDude,39,29,68,1st,Yes (5),5th,29 (5),1st,0 (6.5),5th,2.345 (5),21.5,,10,2,2,4,5,4,0,0,15,Medusa,Wiccan,Adam Warlock,Medusa,Second attempt,3,"Soooo many SHIELD officers and not enough KO. First attempt with Wiccan was a flop, went with a stronger shard generator in 2nd attempt, where Adam Warlock and Quasar (blond cosmic shard bois) were one deck and Medusa and Okoye had great synergy for the other. Neither deck really wanted the wedding party cards, but they didn’t get in the way much. Highlights were triggering Crystal’s common au natural to get enough attack to clear the SHIELD villains and get a Maria hit. Feeling good this week but we’ll see. Felt just beating Maria with no escapes was an accomplishment.",
,,6,Techfiend,43,22,65,1st,Yes (5),3rd,28 (6.5),7th,1 (3),6th,2.321 (4),18.5,,21,1,1,3,5,5,1,0,15,Phyla-Vell,Captain Mar-Vell,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Not a fan of Maria Hill. Feeling like this is the week I'm eliminated.,
,,7,Bronson & Lighthouse,35,49,84,1st,Yes (5),9th,38 (1),1st,0 (6.5),7th,2.211 (3),15.5,,14,3,2,1,3,2,0,0,8,Captain Mar-Vell,Ronan the Accuser,Phyla-Vell,Tigra,Second attempt,2,"OMG So many Marias... With my partner getting ""How do you solve a problem like Maria?"" stuck in our heads throughout!

Our first game we tried to use Mar-vell for shards and Ronan for bystander rescuing. It went really terrible with a clogged HQ and worse clogged decks. Took a chance to mix it up and hoped for Tigra's KO ability combined with Phyla-Vell's yellow to help activate it. I think we only managed to KO 2 cards with it ... but got lucky with Quasar's rare early to help us keep the city under control. 
Felt like it still took too long on turns and was frustrating to see the higher VP value villains never came out.",
,,8,Jinjoz,39,31,70,1st,Yes (5),7th,34 (3),8th,3 (2),8th,2.059 (2),12,,8,1,1,2,4,2,1,0,10,Adam Warlock,Phyla-Vell,Adam Warlock,Phyla-Vell,Second attempt,2,Maria Hill is such a pain and that one tactic that puts officers into the city is brutal! But overall my strategy was to gain shards and stash 7 of the. Away until I got the right opportunity. Worked out great!,
,,9,Izalot,34,35,69,1st,Yes (5),8th,36 (2),9th,4 (1),9th,1.917 (1),9,,1,1,2,3,3,1,0,0,9,Phyla-Vell,Nova (Avengers),Phyla-Vell,Nova (Avengers),Second attempt,5,"I haven't played Maria Hill in forever (as she's so tough to defeat), but having the use of shards and utilizing Nova and Phayla-Vell to create a shard making machine helped out. I still felt the set up was tough but not unfair. Super fun!!!",
,,10,mwade93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Forged by Death,1,TheMelkMan & Snapcity57,36,21,57,1st,Yes (5),2nd,20 (8),1st,0 (8),3rd,2.85 (7),28,,15,5,1,2,11,5,0,0,19,Ultimate Spider-Man,Invisible Woman,Ultimate Spider-Man,Invisible Woman,Second attempt,4,Sneaky setup. Invisible woman was a last second choice for the bystander covering. Zombie melk tastes a little funky…,
,,2,snash108 & SBPKECN,1,60,61,1st,Yes (5),1st,19 (9),6th,2 (3.5),1st,3.211 (9),26.5,,59,8,3,5,7,5,1,0,21,Invisible Woman,Ultimate Spider-Man,Invisible Woman,Ultimate Spider-Man,First attempt,4,"Brought Ultimate Spider Man to assist Symbiote Spider Man, and Invisible Woman for her uncommon, as it was a decent way to bury the zombies.

SBPKECN went with the Spider deck, but did recruit a copy of Invisible Woman's uncommon, to keep her dead buried. In addition, she also picked up Invisible Woman's rare(just before Gobby would have killed it). That took even more pressure off, since all the villains had ambushes on them, that she could cancel, resulting in several 10 card hands. 

Snash, unfortunately just kept killing the same Ghost Racer, over and over again for 1 measely point...",
,,3,MicroDisney0505,50,24,74,1st,Yes (5),5th,25 (5),1st,0 (8),2nd,2.96 (8),26,,26,15,3,2,6,4,1,0,16,Ultimate Spider-Man,Magik,Invisible Woman,Thing,Second attempt,1,"My first game had too many escapes,  so I selected heroes to stop rise of the living dead. The reality gem helped bury some Masterstrikes. I  had a bagel shuffle with 2 scheme twists and 1 Masterstrike in the first 4 turns. I was able to get Invisible woman rare on turn 5 and this made most ambush abilities worthless.
Better to be lucky than skilled this game. I also used disappearing act to ko some gems so they couldn't go back into the city.",
,,4,BradyVBBB#6846,39,18,57,1st,Yes (5),3rd,21 (7),8th,3 (1.5),4th,2.714 (6),19.5,,21,3,3,4,8,4,0,0,19,Captain Marvel,Ultimate Spider-Man,Captain Marvel,Ultimate Spider-Man,Second attempt,2,The living dead suck. The first useful Spider-Man game.,
,,5,Avataristche,59,25,84,1st,Yes (5),8th,35 (2),1st,0 (8),6th,2.4 (4),19,,34,14,0,1,4,0,0,0,5,Invisible Woman,Thing,Invisible Woman,Thing,Second attempt,1,"Heroes choice was not a choice. The first attempt i resigned, since there were no uncommons i wanted in hq. The second try went a bit better, however turn 1 ms koing a rare was not nice. Hand1 finally managed to get a solid hand while most greys were in discard and koed 6 of them. Was cleanup after that.",
,,6,NukinFoobs & N3m3sis,43,19,62,1st,Yes (5),6th,30 (4),4th,1 (5.5),7th,2.067 (3),17.5,,24,6,0,3,3,4,0,0,10,Ultimate Spider-Man,Old Man Logan,Ultimate Spider-Man,Invisible Woman,Second attempt,4,Very rough setup. It was fun trying to navigate the villains to try and limit what comes back from the victory piles. The spider-men do what spider-men do. Game 1 we tried old man Logan to combo with torch and gamora but it didn't work out well. We actually won that game faster but had more escapes. Game 2 we tried invisible woman and got lucky to be able to use her focus to cover up living dead villains with bystanders. We did take a bit longer and had a slightly lower PPT but figured it was better to only have the 1 escape and take a little longer. Overall it was a fun setup that took some out of the box thinking and brought a good challenge,
