Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gives You Hell,1,ChuckBauer,6,60,66,1st,Yes (4),1st,17 (7),1st,0 (4),1st,3.882 (7),22,,54,9,4,7,6,8,1,0,26,Wolverine (X-Force),Ultimate Spider-Man,Wolverine (X-Force),Ultimate Spider-Man,Second attempt,5,"Who cares about wounds, when you're able to draw your entire deck? Picked up Wolerine's rare very early, and paired with Ultimate Spiderman's rare and a whole bunch of card draw, I accumulated 60+ attack on the final turn wiping out Mephisto in one fell swoop!!"
,,2,Sneke#1302,34,29,63,1st,Yes (4),2nd,20 (6),1st,0 (4),2nd,3.15 (6),20,,5,4,3,5,9,7,0,0,24,Iron Fist,Star-Lord,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"I panicked and just chose 2 strong heroes I still had that others may have already used. Shout out to Iron fist achient legacy (the 1 cost) for putting a HQ wound back for only 2 recruit, cycling itself, giving size changing discounts on Ms Marvel big impacts and giving Eletras Sai blades another fight. I'm hoping my cheering crowds and lack of villains drawn doesn't cost me this one :)"
,,3,Redblock,20,48,68,1st,Yes (4),3rd,24 (5),1st,0 (4),3rd,2.833 (5),18,,28,3,3,5,5,4,2,0,19,Ultimate Spider-Man,Captain Marvel,Ultimate Spider-Man,Captain Marvel,Second attempt,4,"This scheme reads ""all heroes cost 1 more, or you loose"" so I went for only spider I could use, and it worked, Ultimate Spider + electra side did all the heavy lifting, giving me 25+ cards a turn (with no KO deck became huge). Captain Marvel + Thor cor generated all the buy on other side, as setup requires you to buy every card from HQ, loose"
,,4,Avataristche,51,24,75,1st,Yes (4),5th,27 (3),1st,0 (4),4th,2.778 (4),15,,27,5,2,4,4,5,1,0,16,Lady Thor,Star-Lord,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"I opened with ms into twist,but it went kinda ok in the end."
,,5,TheMelkMan & Snapcity57,32,33,65,1st,Yes (4),4th,25 (4),1st,0 (4),5th,2.6 (3),15,,1,3,3,7,5,3,1,0,19,Bishop,Punisher,Bishop,Punisher,Second attempt,1,Melking wasn’t optimal
,,6,HatePhD & editedmist,43,32,75,1st,Yes (4),7th,32 (1),1st,0 (4),6th,2.344 (2),11,,11,3,2,5,3,1,0,0,11,Wolverine (X-Force),Iron Fist,Wolverine (X-Force),Iron Fist,Second attempt,5,"5 out of 5 Stressful too

First game was soo rough compared to our second game they literally could have been 2 different setups. Almost gained no wounds and we were able to put most of the wounds back on the stack in our second game."
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Adrian Miller,31,29,60,1st,Yes (4),6th,31 (2),1st,0 (4),7th,1.935 (1),11,,2,1,2,3,4,3,1,0,13,Daredevil (Marvel Knights),Gamora,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,.
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,The Half-Time Show with  Kang,1,Gideon Wyatt & Wife,57,11,68,1st,Yes (4),1st,25 (4),1st,0 (3),1st,2.72 (4),15,,46,5,2,2,7,5,0,0,16,Iron Man,Luke Cage Noir,Iron Man,Luke Cage Noir,First attempt,4,"We had BP and FFU’s rares in the opening HQ. We decided to not mulligan to prevent them from getting snapped. That was a good plan, as I was able to recruit Mr. fantastic after my first shuffle and he got replaced with Luke Cage Noir’s rare. 1st snap came soon after that. I focused on FFU and Luke Cage for the 4 cost power while my wife focus on BP and Iron man for the tech and draw power. It worked out for me as I was able to hit Kang multiple time in multiple turns. Game two didn’t fair too well for my 4 cost strategy, but my wife’s Iron man draw deck had her drawing her holes 20 card deck every turn. Overall fun set up."
,,2,Mikeygill97,34,48,82,2nd,No (2),2nd,39 (3),4th,2 (1),2nd,2.103 (3),9,,14,18,0,0,0,0,0,0,0,Psi-Lord,Spider-Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Oh Snap! I lost!
,,3,Montax30,34,30,64,2nd,No (2),3rd,36 (2),1st,0 (3),3rd,1.778 (2),9,,4,11,1,1,3,4,0,0,9,Brainstorm,Spider-Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,Black Panther MCU is legit with Brainstorm
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,jgoodnough,21,28,49,2nd,No (2),4th,33 (1),1st,0 (3),4th,1.485 (1),7,,7,3,0,0,3,2,0,0,5,Rogue,Luke Cage Noir,Super-Skrull,Rogue,Second attempt,3,It was a tough scheme and after a few Strikes Kang was impossible to hit.
E13,Hoodwinked,1,Bronson & Lighthouse,42,65,107,1st,Yes (4.5),1st,23 (7),1st,0 (4),1st,4.652 (7),22.5,,23,41,4,2,8,3,3,0,20,Bishop,Elektra,Bishop,Elektra,Second attempt,4,"Went for a combo of low cost cards jiving with Spider-man, they are so OP I was drawing my entire deck on one side every turn. At first was worried as I had a bunch of early scheme twists but those just helped me rescue the entire bystander deck."
,,2,dontfeedthegreen,44,53,97,1st,Yes (4.5),2nd,24 (6),1st,0 (4),2nd,4.042 (6),20.5,,9,36,2,1,7,4,5,0,19,Speed,Quicksilver,Black Widow,Elektra,Second attempt,4,"My 1st attempt with Speed & Quicksilver was a lot of fun. They nearly drained the Bystander deck and they might have done even better had I realised that discarding my deck would have often included discarding some Diving Catch. I did realise this in my second attempt with Black Widow and Elektra though and they finished faster, with some awesome Spidey-Sai Blades combos, and both decks running lots of Angel cards. They nearly drained the Bystander stack too (except for the ones that were still in the Villain deck). Widow’s rare helped pick off Villains from the city. Re turn count, Madame Masque played a card from the Villian deck."
,,3,Mangostrike,72,26,98,1st,Yes (4.5),3rd,27 (5),1st,0 (4),3rd,3.63 (5),18.5,,46,30,0,2,6,4,5,0,17,Ronin,Scarlet Witch,Photon,Quicksilver,First attempt,5,"This was a lot of fun. I used heroes I haven’t played before and saw some good combinations. I changed heroes because I thought they would work better with the many Angel cards I got in the first game, but Angel never showed in the second game at all. I also tried KOing my Troopers early, which went counter to the hyper speed strategy I ended up drafting. First game was a powerhouse and the second game a race to the finish and just coming short when the deck ran out."
,,4,WingedCrusader,57,63,120,1st,Yes (4.5),5th,35 (3),1st,0 (4),4th,3.429 (4),15.5,,6,38,1,1,1,3,0,0,6,Wolverine (X-Force),Wolverine (X-Men),Bishop,Jean Grey,Second attempt,4,"Pretty fun, the start was super chill, not too hard but spiderman is so annoying you feel like he's doing something but he's not in this game.  The thing gave huge flexibility, giving me jean grey rare on turn 6 and later thing rare, but the synergy deck wasn't as smooth as I would like.  I still got a lot more VP than my last run with both wolverines despite those decks having more synergy."
,,5,Bikk_Bikk,68,45,113,1st,Yes (4.5),4th,33 (4),1st,0 (4),5th,3.424 (3),15.5,,23,27,1,0,0,0,0,0,1,Wolverine (X-Force),Wolverine (X-Men),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Left went with instinct. So much instinct. Drew the deck about every time. 
Right went with Strength. Thing's Rare clobbered for 20 attack on its last turn. Clobbering Hood twice that turn. "
,,6,Astigmatic_Oracle,55,48,103,1st,Yes (4.5),6th,36 (2),1st,0 (4),6th,2.861 (2),12.5,,7,25,2,2,1,2,2,0,9,Cyclops,Invisible Woman,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Wish I hadn't used core BW earlier in the tournament. She's a house with this scheme.
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Izalot,38,27,65,7th,No (1),7th,41 (1),1st,0 (4),7th,1.585 (1),7,,11,25,0,0,0,0,0,0,0,Darkhawk,Speed,Forge,Domino,Second attempt,3,"Ugh stalled out on both attempts and epic hood was unscratched. Very curious on what other setups would have worked against The Hood, because the double dark memories was a killer! My least favorite setup so far, but maybe in the near future would play again."
