Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
27,EPIC Ego's Unbreakable Enigma Code,1,R3DJ0N,43,68,111,1st,Yes (3),3rd,27 (3),1st,0 (3.5),1st,4.111 (5),14.5,,25,29,Gamora (MCU),Winter Soldier,Gamora (MCU),Winter Soldier,Second attempt,4,4/5,"Reassign to civilian duty got both sides to savior pretty quickly. 2 retractable swords and helped player 2 a lot, so many tech draw cards. PHD in Oceanography helped player 1. Wolverinepool did escape twice but fortunately he doesn't stay in the escape pile."
,,2,MicroDisney0505,49,33,82,1st,Yes (3),1st,24 (5),1st,0 (3.5),4th,3.417 (2),13.5,,16,31,Deathlok,Solo,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,Made a tech deck that did good.
,,3,OllieKitKat & Kylah15,63,59,122,1st,Yes (3),4th,33 (2),1st,0 (3.5),3rd,3.697 (3),11.5,,4,40,Captain America (1941),Captain America (Falcon),Captain America (1941),Captain America (Falcon),First attempt,5,5/5,"Great first game! We quit the second after we had several escapes. Our idea was for us to both be able to play the ""hero class matters"" kind of deck. Ultimately it was a solid strategy, quite fun. Though the first few master strikes had us nervous."
,,4,Jalt,41,38,79,1st,Yes (3),2nd,25 (4),1st,0 (3.5),5th,3.16 (1),11.5,,3,19,Captain America (Falcon),Gamora (MCU),Captain America (Falcon),Gamora (MCU),Second attempt,5,5/5,"On the second play through I got lucky with Stingray’s rare in the HQ and a 5 and 1 hand. I got the 3 recruit stingray on turn 1 and an officer on turn 3 while being able to fight a Mutate. Turn 5 I had enough recruit to get his rare with the extra draw, and then it became a rush of how quickly I could KO as much as possible with Stingray and Groot (21 KOs at the end). Built up a very nice Tech ranged side on my left and was working with artifacts on the right. I had the ability to end this a little earlier but would’ve had 1-2 escapes."
,,5,BleshInTheFlesh,39,92,131,1st,Yes (3),5th,35 (1),5th,2 (1),2nd,3.743 (4),9,,53,31,Agent Phil Coulson,Deathlok,Agent Phil Coulson,Deathlok,First attempt,4,4/5,This one was hard. Took a lot of turns in the first game but was able to win against the mastermind. The second round I was not lucky enough and pulled all the scheme twists by turn 25. Fun but rough.
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,,,,
28,Killmonger's Tornado of Terrigen Mists,1,JustHarold,37,27,64,1st,Yes (5),2nd,19 (8),1st,0 (8),1st,3.368 (9),30,,10,0,Ant-Man,Wasp,Ant-Man,Wasp,Second attempt,3,3/5,Kept the hands on Streets and Bank and prayed I wouldnt need to go to the bridge to avoid an escape. Got size changing rolling keeping the classes separate.
,,2,Sparky001,39,17,56,1st,Yes (5),1st,17 (9),1st,0 (8),2nd,3.294 (8),30,,22,10,King Black Panther,Queen Storm of Wakanda,King Black Panther,Queen Storm of Wakanda,Second attempt,4,4/5,"First run was tricky using new cards but second run went better as managed to get Queen Storm and Black Knights rates to deal wounds to the Mastermind allowing a combo of Black Panther, Black Cat and Black Knights empowerment ability to finish off the mastermind and move around the city."
